,bet_offer_id,closed,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score
4226,2470295099,2024-11-23T15:00:00Z,1002558602,Asian Totaal - 1e Helft,Asian Total - 1st Half,GOALS,,21,Asian Over/Under,Asian Over/Under,1021042514,3560249128,Meer dan,Over,4700.0,2250.0,,OT_OVER,2024-11-04T08:33:07Z,18/5,370,OPEN,DISABLED,,
4227,2470295099,2024-11-23T15:00:00Z,1002558602,Asian Totaal - 1e Helft,Asian Total - 1st Half,GOALS,,21,Asian Over/Under,Asian Over/Under,1021042514,3560249135,Minder dan,Under,1180.0,2250.0,,OT_UNDER,2024-11-04T08:33:07Z,1/6,-560,OPEN,DISABLED,,
4228,2470295101,2024-11-23T15:00:00Z,1001159532,Totaal Aantal Doelpunten - 1e Helft,Total Goals - 1st Half,GOALS,,6,Over/Onder,Over/Under,1021042514,3560249139,Meer dan,Over,4900.0,2500.0,,OT_OVER,2024-11-04T08:33:07Z,19/5,390,OPEN,ENABLED,,
4229,2470295101,2024-11-23T15:00:00Z,1001159532,Totaal Aantal Doelpunten - 1e Helft,Total Goals - 1st Half,GOALS,,6,Over/Onder,Over/Under,1021042514,3560249145,Minder dan,Under,1140.0,2500.0,,OT_UNDER,2024-11-04T08:33:07Z,2/15,-715,OPEN,ENABLED,,
4230,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249149,0-0,0-0,18000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,17/1,1700,OPEN,ENABLED,0,0
4231,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249155,0-1,0-1,10000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,9/1,900,OPEN,ENABLED,0,1
4232,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249161,0-2,0-2,9500.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,17/2,850,OPEN,ENABLED,0,2
4233,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249168,0-3,0-3,13000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,12/1,1200,OPEN,ENABLED,0,3
4234,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249175,0-4,0-4,23000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,22/1,2200,OPEN,ENABLED,0,4
4235,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249182,0-5,0-5,46000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,45/1,4500,OPEN,ENABLED,0,5
