,bet_offer_id,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score,event_name,sport,group_name
63,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920866,1/X,1/X,11500.0,,,OT_ONE_CROSS,2025-01-21T14:53:02Z,21/2,1050,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
64,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920884,1/2,1/2,20000.0,,,OT_ONE_TWO,2025-01-21T14:53:02Z,19/1,1900,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
65,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920899,X/1,X/1,7000.0,,,OT_CROSS_ONE,2025-01-21T14:53:02Z,6/1,600,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
66,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920914,X/X,X/X,5100.0,,,OT_CROSS_CROSS,2025-01-21T14:53:02Z,4/1,410,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
67,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920923,X/2,X/2,5300.0,,,OT_CROSS_TWO,2025-01-21T14:53:02Z,17/4,430,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
68,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920932,2/1,2/1,35000.0,,,OT_TWO_ONE,2025-01-21T14:53:02Z,34/1,3400,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
69,2480017759,1001159830,Rust/Eindresultaat,Half Time/Full Time,GOALS,,8,HT/FT,HT/FT,1022274708,3593920941,2/X,2/X,13000.0,,,OT_TWO_CROSS,2025-01-21T14:53:02Z,12/1,1200,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
70,2480017760,1001957106,Bologna Wint en Beide Teams Scoren,Bologna to Win and Both Teams To Score,,,18,Ja/Nee,Yes/No,1022274708,3593920840,Ja,Yes,7000.0,,,OT_YES,2025-01-20T13:37:16Z,6/1,600,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
71,2480017760,1001957106,Bologna Wint en Beide Teams Scoren,Bologna to Win and Both Teams To Score,,,18,Ja/Nee,Yes/No,1022274708,3593920863,Nee,No,,,,OT_NO,2025-01-20T13:37:16Z,,,SUSPENDED,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
72,2480017761,1001159922,Dubbele Kans,Double Chance,GOALS,FULL_TIME,12,Dubbele kans,Double Chance,1022274708,3593920819,1X,1X,1630.0,,,OT_ONE_OR_CROSS,2025-01-21T14:53:00Z,8/13,-159,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
73,2480017761,1001159922,Dubbele Kans,Double Chance,GOALS,FULL_TIME,12,Dubbele kans,Double Chance,1022274708,3593920827,12,12,1300.0,,,OT_ONE_OR_TWO,2025-01-21T14:53:00Z,3/10,-335,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
74,2480017761,1001159922,Dubbele Kans,Double Chance,GOALS,FULL_TIME,12,Dubbele kans,Double Chance,1022274708,3593920835,X2,X2,1340.0,,,OT_CROSS_OR_TWO,2025-01-21T14:53:00Z,1/3,-295,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
