event_id,match_name,start_time,home_team,away_team,competition,country,sport,home_odds,away_odds
6683010,Enzo Camargo Lima vs Luciano Emanuel Ambrogi,2025-01-26T14:35:00Z,Enzo Camargo Lima,Luciano Emanuel Ambrogi,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,9.5,1.01
6683066,Felipe Alves vs Facundo Mena,2025-01-27T14:00:00Z,Felipe Alves,Facundo Mena,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,1.63,2.23
6683068,Gabriel Debru vs Renzo Olivo,2025-01-27T14:00:00Z,Gabriel Debru,Renzo Olivo,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,1.28,3.55
6683072,Genaro Alberto Olivieri vs Roman Andres Burruchaga,2025-01-27T14:00:00Z,Genaro Alberto Olivieri,Roman Andres Burruchaga,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,2.8,1.42
6681580,Gianluca Mager vs Alexey Vatutin,2025-01-27T10:00:00Z,Gianluca Mager,Alexey Vatutin,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.89,1.89
6681577,Giulio Zeppieri vs Federico Arnaboldi,2025-01-27T10:00:00Z,Giulio Zeppieri,Federico Arnaboldi,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.74,2.06
6681582,Henri Squire vs Gauthier Onclin,2025-01-27T10:00:00Z,Henri Squire,Gauthier Onclin,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.97,
6683011,Igor Gimenez vs Gonzalo Villanueva,2025-01-26T15:30:00Z,Igor Gimenez,Gonzalo Villanueva,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,3.65,1.23
6683008,Juan Bautista Otegui vs Orlando Luz,2025-01-26T20:25:00Z,Juan Bautista Otegui,Orlando Luz,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,3.05,1.31
6683071,Juan Bautista Torres vs Federico Coria,2025-01-27T14:00:00Z,Juan Bautista Torres,Federico Coria,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,2.31,1.6
6683007,Lautaro Midon vs Wilson Leite,2025-01-26T19:50:00Z,Lautaro Midon,Wilson Leite,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,1.13,5.0
6683012,Marco Cecchinato vs Ryan Augusto Dos Santos,2025-01-26T18:55:00Z,Marco Cecchinato,Ryan Augusto Dos Santos,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,1.05,7.25
6681581,Max Hans Rehberg vs Oleg Prihodko,2025-01-27T10:00:00Z,Max Hans Rehberg,Oleg Prihodko,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.37,3.0
6683069,Max Houkes vs Gustavo Heide,2025-01-27T14:00:00Z,Max Houkes,Gustavo Heide,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,2.65,1.46
6681618,Max Wiskandt vs Michael Vrbensky,2025-01-26T15:55:00Z,Max Wiskandt,Michael Vrbensky,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.92,1.76
6683015,Maxime Chazal vs Gabriel Roveri Sidney,2025-01-26T17:50:00Z,Maxime Chazal,Gabriel Roveri Sidney,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,1.08,6.25
6683070,Murkel Alejandro Dellien Velasco vs Emilio Nava,2025-01-27T14:00:00Z,Murkel Alejandro Dellien Velasco,Emilio Nava,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,2.24,1.63
6683013,Paulo Andre Saraiva Dos Santos vs Valerio Aboian,2025-01-26T19:30:00Z,Paulo Andre Saraiva Dos Santos,Valerio Aboian,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,3.35,1.26
6681583,Rudolf Molleker vs Gijs Brouwer,2025-01-27T10:00:00Z,Rudolf Molleker,Gijs Brouwer,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,2.47,1.53
6681576,Samuel Vincent Ruggeri vs Daniel Masur,2025-01-27T10:00:00Z,Samuel Vincent Ruggeri,Daniel Masur,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.89,1.89
6683067,Santiago FA Rodriguez Taverna vs Juan Pablo Ficovich,2025-01-27T14:00:00Z,Santiago FA Rodriguez Taverna,Juan Pablo Ficovich,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,2.31,1.59
6681585,Ugo Blanchet vs Michael Geerts,2025-01-27T10:00:00Z,Ugo Blanchet,Michael Geerts,"ATP Challenger Koblenz, Enkelspel",ATP Challenger Tour,Tennis,1.34,3.2
6683014,Victor Hugo Remondy Pagotto vs Mariano Kestelboim,2025-01-26T17:30:00Z,Victor Hugo Remondy Pagotto,Mariano Kestelboim,"ATP Challenger Piracicaba, Enkelspel",ATP Challenger Tour,Tennis,7.0,1.05
6680707,Andreozzi G / Luz O vs Galan D E / Taberner C,2025-01-27T14:00:00Z,Andreozzi G / Luz O,Galan D E / Taberner C,"ATP Challenger Piracicaba, Dubbelspel",ATP Challenger Tour,Tennis,1.09,5.75
6679475,Blanchet U / Martineau M vs Kirkov V / Veldheer M,2025-01-27T09:00:00Z,Blanchet U / Martineau M,Kirkov V / Veldheer M,"ATP Challenger Koblenz, Dubbelspel",ATP Challenger Tour,Tennis,2.09,1.64
6680702,Dellien  M / Prado Angelo J C vs Heide G / Reis Da Silva J L,2025-01-27T14:00:00Z,Dellien  M / Prado Angelo J C,Heide G / Reis Da Silva J L,"ATP Challenger Piracicaba, Dubbelspel",ATP Challenger Tour,Tennis,2.16,1.6
6679477,Escoffier A / Sanchez L vs Paul J / Pel D,2025-01-27T09:00:00Z,Escoffier A / Sanchez L,Paul J / Pel D,"ATP Challenger Koblenz, Dubbelspel",ATP Challenger Tour,Tennis,2.24,1.55
6679470,Molchanov D / Vrbensky M vs Barnat J / Duda F,2025-01-27T09:00:00Z,Molchanov D / Vrbensky M,Barnat J / Duda F,"ATP Challenger Koblenz, Dubbelspel",ATP Challenger Tour,Tennis,1.5,2.35
6679472,Trhac P / Walkow S vs Masur D / Schoenhaus M,2025-01-27T09:00:00Z,Trhac P / Walkow S,Masur D / Schoenhaus M,"ATP Challenger Koblenz, Dubbelspel",ATP Challenger Tour,Tennis,1.3,3.1
6671586,Djurgardens IF vs HV 71,2025-01-26T15:00:00Z,Djurgardens IF,HV 71,Zweden SDHL Vrouwen,Zweden,IJshockey,1.43,2.5
6678140,EC Praia Grande SP vs Norde Volei,2025-01-26T22:30:00Z,EC Praia Grande SP,Norde Volei,Brazilian Superliga B,Brazilië,Volleybal,2.6,1.43
6676946,Mi Emirates vs Desert Vipers,2025-01-27T14:30:00Z,Mi Emirates,Desert Vipers,T20 League,Verenigde Arabische Emiraten,Cricket,2.05,1.77
6684721,Sao Sebastiao vs Apade Volei,2025-01-27T22:00:00Z,Sao Sebastiao,Apade Volei,Brazilian Superliga B,Brazilië,Volleybal,2.9,1.36
6671714,Cv Melilla vs Leleman Conqueridor Valencia,2025-01-26T16:00:00Z,Cv Melilla,Leleman Conqueridor Valencia,Men's Superliga de Voleibol Masculina,Spanje,Volleybal,2.6,1.44
6671713,Voley Palma vs Cv Teruel,2025-01-26T17:00:00Z,Voley Palma,Cv Teruel,Men's Superliga de Voleibol Masculina,Spanje,Volleybal,10.0,1.02
6689407,Australië vs India,2025-01-26T15:00:00Z,Australië,India,The TOTO Oval,Virtual,Virtual Cricket,2.15,1.8
6689017,Australië vs Nieuw-Zeeland,2025-01-26T14:32:00Z,Australië,Nieuw-Zeeland,The TOTO Oval,Virtual,Virtual Cricket,2.15,1.8
6688963,Bob Anderson vs Alan Warriner-Little,2025-01-26T14:32:00Z,Bob Anderson,Alan Warriner-Little,TOTO Palace,Virtual,Virtual Darten,1.5,2.4
